Type,Local Number,Message,
Definition,0,file_id,
Definition,0,capabilities,
Definition,0,device_settings,
Definition,0,user_profile,
Definition,0,hrm_profile,
Definition,0,sdm_profile,
Definition,0,bike_profile,
Definition,0,zones_target,
Definition,0,hr_zone,
Definition,0,power_zone,
Definition,0,met_zone,
Definition,0,unknown,
Definition,0,sport,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,goal,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,session,
Definition,0,lap,
Definition,0,record,
Definition,0,event,
Definition,0,unknown,
Definition,0,device_info,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,workout,
Definition,0,workout_step,
Definition,0,schedule,
Definition,0,unknown,
Definition,0,weight_scale,
Definition,0,course,
Definition,0,course_point,
Definition,0,totals,
Definition,0,activity,
Definition,0,software,
Definition,0,unknown,
Definition,0,file_capabilities,
Definition,0,mesg_capabilities,
Definition,0,field_capabilities,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,file_creator,
Definition,0,unknown,
Definition,0,blood_pressure,
Definition,0,unknown,
Definition,0,speed_zone,
Definition,0,unknown,
Definition,0,monitoring,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,training_file,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,hrv,
Definition,0,unknown,
Definition,0,ant_rx,
Definition,0,ant_tx,
Definition,0,ant_channel_id,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,length,
Definition,0,unknown,
Definition,0,monitoring_info,
Definition,0,unknown,
Definition,0,pad,
Definition,0,slave_device,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,connectivity,
Definition,0,weather_conditions,
Definition,0,weather_alert,
Definition,0,unknown,
Definition,0,cadence_zone,
Definition,0,hr,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,segment_lap,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,memo_glob,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,segment_id,
Definition,0,segment_leaderboard_entry,
Definition,0,segment_point,
Definition,0,segment_file,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,workout_session,
Definition,0,watchface_settings,
Definition,0,gps_metadata,
Definition,0,camera_event,
Definition,0,timestamp_correlation,
Definition,0,unknown,
Definition,0,gyroscope_data,
Definition,0,accelerometer_data,
Definition,0,unknown,
Definition,0,three_d_sensor_calibration,
Definition,0,unknown,
Definition,0,video_frame,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,obdii_data,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,nmea_sentence,
Definition,0,aviation_attitude,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,video,
Definition,0,video_title,
Definition,0,video_description,
Definition,0,video_clip,
Definition,0,ohr_settings,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,exd_screen_configuration,
Definition,0,exd_data_field_configuration,
Definition,0,exd_data_concept_configuration,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,field_description,
Definition,0,developer_data_id,
Definition,0,magnetometer_data,
Definition,0,barometer_data,
Definition,0,one_d_sensor_calibration,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,set,
Definition,0,unknown,
Definition,0,stress_level,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,dive_settings,
Definition,0,dive_gas,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,dive_alarm,
Definition,0,unknown,
Definition,0,exercise_title,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,dive_summary,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
Definition,0,unknown,
